dolphinsgrefenstette.txt
SIZE;30;;MAXGENS;1000;;Pm;0.01;
MAXMOD;1.02851944148;;NEDGES;159
min_mod;max_mod;range_mod;min_eri;max_eri;range_eri;min_k;max_k;
BESTMOD;1.02045014042;;ERI;0.119496855346
BESTMOD;1.01609904671;;ERI;0.125786163522
BESTMOD;1.00035599858;;ERI;0.14465408805
BESTMOD;1.01495194019;;ERI;0.11320754717
BESTMOD;1.0030062102;;ERI;0.157232704403
BESTMOD;0.985918278549;;ERI;0.150943396226
BESTMOD;1.0178394842;;ERI;0.132075471698
BESTMOD;1.00427198291;;ERI;0.169811320755
BESTMOD;1.01105573355;;ERI;0.11320754717
BESTMOD;1.02531545429;;ERI;0.0880503144654
BESTMOD;1.005972865;;ERI;0.100628930818
BESTMOD;1.00779241327;;ERI;0.0943396226415
BESTMOD;1.02242791029;;ERI;0.14465408805
BESTMOD;1.02646256082;;ERI;0.106918238994
BESTMOD;1.01317194731;;ERI;0.11320754717
BESTMOD;1.01016573711;;ERI;0.11320754717
BESTMOD;0.989656263597;;ERI;0.207547169811
BESTMOD;0.994185356592;;ERI;0.157232704403
BESTMOD;1.01091728966;;ERI;0.138364779874
BESTMOD;1.02646256082;;ERI;0.106918238994
BESTMOD;1.01075906807;;ERI;0.11320754717
BESTMOD;1.02646256082;;ERI;0.106918238994
BESTMOD;1.0000593331;;ERI;0.176100628931
BESTMOD;1.02029191883;;ERI;0.100628930818
BESTMOD;1.00949329536;;ERI;0.14465408805
BESTMOD;1.00478620308;;ERI;0.163522012579
BESTMOD;1.00791107947;;ERI;0.119496855346
BESTMOD;0.987955381512;;ERI;0.125786163522
BESTMOD;1.0177801511;;ERI;0.125786163522
BESTMOD;1.02491990032;;ERI;0.062893081761
BESTMOD;1.0134092797;;ERI;0.125786163522
BESTMOD;1.01317194731;;ERI;0.11320754717
BESTMOD;1.02571100827;;ERI;0.0125786163522
BESTMOD;0.995925794075;;ERI;0.213836477987
BESTMOD;1.01831414897;;ERI;0.0880503144654
BESTMOD;1.00684308374;;ERI;0.100628930818
BESTMOD;1.01558482655;;ERI;0.150943396226
BESTMOD;1.02163680234;;ERI;0.0440251572327
BESTMOD;1.02029191883;;ERI;0.100628930818
BESTMOD;1.01752304102;;ERI;0.132075471698
BESTMOD;0.989794707488;;ERI;0.138364779874
BESTMOD;1.02029191883;;ERI;0.100628930818
BESTMOD;1.02646256082;;ERI;0.106918238994
BESTMOD;1.01174795301;;ERI;0.14465408805
BESTMOD;1.00199754757;;ERI;0.163522012579
BESTMOD;0.990032039872;;ERI;0.138364779874
BESTMOD;1.01815592738;;ERI;0.125786163522
BESTMOD;1.00842529963;;ERI;0.182389937107
BESTMOD;0.99288002848;;ERI;0.0943396226415
BESTMOD;1.01224239547;;ERI;0.0943396226415
BESTMOD;0.972390332661;;ERI;0.201257861635
BESTMOD;1.00114710652;;ERI;0.150943396226
BESTMOD;1.01388394446;;ERI;0.106918238994
BESTMOD;1.02029191883;;ERI;0.100628930818
BESTMOD;1.01010640402;;ERI;0.119496855346
BESTMOD;1.00949329536;;ERI;0.14465408805
BESTMOD;1.02045014042;;ERI;0.119496855346
BESTMOD;1.00533997864;;ERI;0.0943396226415
BESTMOD;1.00848463273;;ERI;0.119496855346
BESTMOD;1.01066017958;;ERI;0.119496855346
BESTMOD;1.02045014042;;ERI;0.119496855346
BESTMOD;1.01244017246;;ERI;0.157232704403
BESTMOD;1.0074364147;;ERI;0.169811320755
BESTMOD;1.02001503105;;ERI;0.062893081761
BESTMOD;1.02213124481;;ERI;0.138364779874
BESTMOD;1.02646256082;;ERI;0.106918238994
BESTMOD;1.00949329536;;ERI;0.14465408805
BESTMOD;1.00561686642;;ERI;0.119496855346
BESTMOD;1.01815592738;;ERI;0.14465408805
BESTMOD;1.00478620308;;ERI;0.163522012579
BESTMOD;1.01123373284;;ERI;0.11320754717
BESTMOD;0.985048059808;;ERI;0.188679245283
BESTMOD;1.02128080377;;ERI;0.0880503144654
BESTMOD;1.02531545429;;ERI;0.0880503144654
BESTMOD;1.00818796725;;ERI;0.125786163522
BESTMOD;1.01253906095;;ERI;0.125786163522
BESTMOD;0.997112455995;;ERI;0.150943396226
BESTMOD;0.984632728136;;ERI;0.163522012579
BESTMOD;1.02029191883;;ERI;0.100628930818
BESTMOD;1.02045014042;;ERI;0.119496855346
BESTMOD;1.00462798149;;ERI;0.14465408805
BESTMOD;1.01321150271;;ERI;0.14465408805
BESTMOD;1.00063288636;;ERI;0.245283018868
BESTMOD;1.02428701396;;ERI;0.0377358490566
BESTMOD;1.02029191883;;ERI;0.100628930818
BESTMOD;0.988350935485;;ERI;0.238993710692
BESTMOD;0.998318895613;;ERI;0.201257861635
BESTMOD;1.02201257862;;ERI;0.119496855346
BESTMOD;1.00474664768;;ERI;0.150943396226
BESTMOD;0.995213796923;;ERI;0.157232704403
BESTMOD;1.02646256082;;ERI;0.106918238994
BESTMOD;1.013389502;;ERI;0.106918238994
BESTMOD;1.02201257862;;ERI;0.119496855346
BESTMOD;1.02646256082;;ERI;0.106918238994
BESTMOD;1.00126577271;;ERI;0.138364779874
BESTMOD;1.00704086073;;ERI;0.138364779874
BESTMOD;1.02050947352;;ERI;0.100628930818
BESTMOD;1.02045014042;;ERI;0.119496855346
BESTMOD;1.01946125549;;ERI;0.0754716981132
BESTMOD;1.02646256082;;ERI;0.106918238994
BESTMOD;ZEROS:0:MEAN:1.01097879831;STDEV;0.0116648242672;ERI;MEAN:0.127358490566;STDEV;0.0376137963272
